,No,Number Per One Dimension,Gender,Size,Width of shoulders,Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Vertical distance between Chair and the ground,Horizational Distance (CM),Horizontal distance between eyes and head posture device,Shoulder Posture,Head Posture,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 4-2
1554,1555,55,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),876,889,852,722,-167
1556,1557,57,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),880,887,859,713,-174
1557,1558,58,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),879,864,864,731,-133
1558,1559,59,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),868,838,849,721,-117
1559,1560,60,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),876,867,848,724,-143
1560,1561,1,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),894,861,867,733,-128
1561,1562,2,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),880,894,874,735,-159
1564,1565,5,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),885,869,872,727,-142
1565,1566,6,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),889,884,859,732,-152
1566,1567,7,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),879,863,872,729,-134
1567,1568,8,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),892,890,862,722,-168
1568,1569,9,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),879,869,853,731,-138
1569,1570,10,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),888,863,871,734,-129
1570,1571,11,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),879,857,862,734,-123
1571,1572,12,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),889,869,867,738,-131
1572,1573,13,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),884,862,868,728,-134
1573,1574,14,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),893,883,862,729,-154
1574,1575,15,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),895,872,864,724,-148
1575,1576,16,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),885,874,860,719,-155
1576,1577,17,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),876,892,859,731,-161
1578,1579,19,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),891,866,864,722,-144
1579,1580,20,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),889,852,869,734,-118
1580,1581,21,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),880,881,863,713,-168
1581,1582,22,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),881,858,865,739,-119
1582,1583,23,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),885,890,862,722,-168
1583,1584,24,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),894,871,869,718,-153
1584,1585,25,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),889,893,857,723,-170
1585,1586,26,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),879,867,864,735,-132
1586,1587,27,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),875,872,861,727,-145
1587,1588,28,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),889,887,868,730,-157
1588,1589,29,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),876,897,865,733,-164
1589,1590,30,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),891,892,858,730,-162
1590,1591,31,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),887,897,853,728,-169
1591,1592,32,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),881,899,860,732,-167
1592,1593,33,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),877,886,865,743,-143
1593,1594,34,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),887,898,869,725,-173
1595,1596,36,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),890,888,872,730,-158
1596,1597,37,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),885,886,863,734,-152
1597,1598,38,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),886,868,866,735,-133
1598,1599,39,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),887,881,861,739,-142
1599,1600,40,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),880,900,864,732,-168
1602,1603,43,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),885,872,862,729,-143
1604,1605,45,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),895,884,862,717,-167
1605,1606,46,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),885,884,870,730,-154
1607,1608,48,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),890,885,851,729,-156
1609,1610,50,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),882,876,865,723,-153
1610,1611,51,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),871,882,857,725,-157
1611,1612,52,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),877,871,861,720,-151
1612,1613,53,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),887,894,864,731,-163
1613,1614,54,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),879,888,870,723,-165
1614,1615,55,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),885,873,863,727,-146
1615,1616,56,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),883,893,862,730,-163
1616,1617,57,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),879,858,856,724,-134
1618,1619,59,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),884,845,872,723,-122
1619,1620,60,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neutral Position(Best Position),880,888,860,740,-148
1620,1621,1,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,882,897,869,735,-162
1621,1622,2,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,888,864,865,727,-137
1622,1623,3,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,883,882,865,738,-144
1623,1624,4,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,880,888,856,741,-147
1624,1625,5,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,887,850,866,732,-118
1625,1626,6,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,884,871,867,732,-139
1626,1627,7,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,884,860,868,720,-140
1627,1628,8,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,884,886,863,733,-153
1628,1629,9,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,884,886,872,729,-157
1629,1630,10,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,893,878,866,725,-153
1630,1631,11,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,879,861,864,734,-127
1631,1632,12,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,883,847,868,716,-131
1632,1633,13,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,893,863,862,735,-128
1633,1634,14,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,891,840,858,726,-114
1634,1635,15,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,889,845,866,721,-124
1635,1636,16,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,883,871,874,721,-150
1636,1637,17,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,891,855,866,729,-126
1637,1638,18,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,885,859,872,731,-128
1638,1639,19,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,881,856,870,730,-126
1639,1640,20,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,881,859,863,729,-130
1640,1641,21,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,885,855,867,732,-123
1641,1642,22,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,888,878,862,723,-155
1642,1643,23,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,883,838,857,744,-94
1643,1644,24,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,891,862,865,733,-129
1644,1645,25,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,887,850,869,733,-117
1645,1646,26,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,880,824,862,725,-99
1646,1647,27,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,892,861,866,724,-137
1647,1648,28,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,886,865,862,722,-143
1648,1649,29,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,884,843,866,716,-127
1649,1650,30,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,888,850,862,728,-122
1650,1651,31,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,900,837,868,727,-110
1651,1652,32,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,884,863,869,729,-134
1652,1653,33,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,891,850,862,730,-120
1653,1654,34,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,889,855,864,736,-119
1654,1655,35,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,880,861,862,725,-136
1655,1656,36,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,883,833,862,735,-98
1656,1657,37,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,893,849,865,738,-111
1657,1658,38,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,892,848,861,734,-114
1658,1659,39,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,884,847,869,728,-119
1659,1660,40,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,885,840,872,714,-126
1660,1661,41,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,878,848,872,721,-127
1661,1662,42,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,879,802,869,720,-82
